id,sex,age,After-school hours,Other study hours,Review time,Reading time,Social time,Homework score,Number of class participation,Attendance rate,Mental health status,Course difficulty rating,Test score
1,男,23,3.2,2.2,1,1.2,1.2,96,2,1,1,1,96
2,女,23,4.5,1.6,2.9,0.7,0.7,95,2,1,1,1,91
3,男,23,3.7,1.5,2.2,0.9,0.9,95,4,1,1,1,100
4,男,23,3.9,1.7,2.2,0.9,0.9,99,1,1,1,3,92
5,男,22,3,1.9,1.1,1.9,1.9,98,5,1,1,2,90
6,女,23,3.1,1.8,1.3,0.5,0.5,98,3,1,1,2,92
7,男,21,3.2,1.7,1.5,0.8,0.8,96,3,1,1,2,94
8,男,21,3.3,2.1,1.2,0.7,0.7,99,2,1,1,1,90
9,男,21,4.8,2.5,2.3,2.1,2.1,99,3,1,1,2,92
10,女,22,5,2.2,2.8,1.7,1.7,98,2,1,1,1,97
11,男,22,1.2,1,0.2,0.2,0.3,95,1,0.97,0,3,75
12,男,22,3.2,1.8,1.4,0.6,0.6,98,5,1,1,2,90
13,男,23,3.7,2.5,1.2,1.4,1.4,96,4,1,1,1,99
14,男,22,4.1,2.1,2,2,2,95,4,1,1,1,99
15,女,22,3.5,1.5,2,0.5,0.5,97,4,1,1,1,91
16,男,22,4.9,2.3,2.6,1.9,1.9,96,0,1,1,3,97
17,女,21,3,1.6,1.4,1.9,1.9,98,5,1,1,2,90
18,女,23,3.4,2.3,1.1,1.4,1.4,97,3,1,1,2,100
19,女,21,4.6,2.2,2.4,0.7,0.7,98,2,1,1,1,92
20,男,23,4.3,1.9,2.4,0.8,0.8,97,4,1,1,1,92
21,女,23,3.1,1.4,1.7,1,1,98,2,0.96,1,1,80
22,男,21,3.3,1.6,1.7,1.3,1.3,97,3,0.95,1,2,89
23,女,21,3.3,1.3,2,1.5,1.5,95,0,0.95,1,3,84
24,女,23,3.2,1.6,1.6,0.6,0.6,97,3,0.99,1,2,89
25,女,22,3.1,1.2,1.9,1.5,1.5,95,3,0.98,1,2,84
26,女,22,2.8,1.4,1.4,1.6,1.6,93,3,0.98,1,2,88
27,女,23,2.8,1.4,1.4,1,1,94,3,0.96,1,2,83
28,女,21,3.2,1.3,1.9,0.5,0.5,98,5,0.99,1,2,83
29,女,22,3.1,1.5,1.6,1.7,1.7,97,4,0.99,1,1,80
30,女,21,3.4,1.6,1.8,1.4,1.4,97,5,0.98,1,2,83
31,男,23,3.2,1.4,1.8,1.9,1.9,96,3,0.95,1,2,83
32,男,22,3,1.6,1.4,1,1,93,3,0.98,1,2,82
33,女,22,3.2,1.4,1.8,1.1,1.1,99,5,0.96,1,2,89
34,女,21,3,1.7,1.3,1.5,1.5,96,4,0.95,1,1,80
35,女,22,3.1,1.4,1.7,0.9,0.9,95,4,0.97,1,1,87
36,男,22,2.9,1.4,1.5,0.6,0.6,98,5,0.97,1,2,84
37,女,22,3,1.5,1.5,0.6,0.6,94,4,0.98,1,1,85
38,男,22,2.7,1.7,1,1.7,1.7,93,1,0.97,1,3,89
39,男,23,2.5,1.7,0.8,2.1,2.1,96,2,0.98,1,1,87
40,男,22,3.3,1.3,2,0.8,0.8,94,2,0.97,1,1,81
41,男,21,2.8,1.5,1.3,1,1,98,5,0.97,1,2,89
42,男,22,3.1,1.4,1.7,2.2,2.2,99,5,0.98,1,2,89
43,女,23,2.5,1.5,1,1.7,1.7,96,5,0.98,1,2,87
44,女,22,3.4,1.5,1.9,1.6,1.6,99,5,0.97,1,2,81
45,女,23,3.2,1.7,1.5,1.8,1.8,97,2,0.98,1,1,86
46,女,22,3.2,1.7,1.5,1,1,97,3,0.99,1,2,86
47,女,22,2.6,1.6,1,1.9,1.9,95,3,0.98,1,2,84
48,男,22,2.8,1.2,1.6,1.5,1.5,94,4,0.99,1,1,83
49,女,21,3.4,1.4,2,1.4,1.4,96,4,0.95,1,1,84
50,女,21,3.3,1.6,1.7,1.5,1.5,97,2,0.95,1,1,81
51,男,21,2.8,1.3,1.5,0.7,0.7,98,4,0.97,1,1,84
52,女,22,2.9,1.3,1.6,1.4,1.4,99,5,0.99,1,2,86
53,男,22,3.4,1.5,1.9,1.8,1.8,96,4,0.98,1,1,89
54,女,22,3.4,1.6,1.8,1.1,1.1,98,4,0.99,1,1,80
55,男,23,2.7,1.5,1.2,1.2,1.2,97,1,0.97,1,3,83
56,女,21,1.5,1.2,0.3,2,2,86,1,0.88,1,2,75
57,女,22,2.2,1.7,0.5,1,1,89,3,0.88,1,2,75
58,男,23,2.5,2.5,0,2,2,87,3,0.87,1,4,74
59,男,21,2.9,1.8,1.1,1.5,1.5,87,3,0.89,1,4,74
60,男,21,1.1,0.6,0.5,1.1,1.1,95,3,0.88,1,3,74
61,男,22,1.5,0.8,0.7,1.6,1.6,87,1,0.87,1,2,72
62,男,21,1.3,1,0.3,1,1,87,3,0.89,1,1,72
63,男,23,2.1,1.9,0.2,1.1,1.1,88,3,0.87,1,3,71
64,男,23,1.8,1.7,0.1,0.7,0.7,94,3,0.95,1,4,77
65,男,22,2,1.5,0.5,1.1,1.1,94,1,0.98,1,3,82
66,女,23,2.7,1.7,1,1.7,1.7,93,1,0.98,1,1,78
67,女,23,2.4,2.4,0,1.5,1.5,93,1,0.96,1,3,79
68,男,21,1.8,1,0.8,2,2,94,4,0.97,1,3,70
69,女,23,2.1,1.5,0.6,0.7,0.7,93,1,0.99,1,2,74
70,女,22,2.5,2.4,0.1,2.1,2.1,94,2,0.97,1,4,79
71,女,23,2.7,2,0.7,1,1,95,1,0.99,1,4,74
72,女,23,2.1,2.1,0,1.5,1.5,93,2,0.97,1,2,70
73,男,22,1.5,1.5,0,1.6,1.6,95,1,0.96,1,3,76
74,女,21,2.1,1.7,0.4,1.3,1.3,93,1,0.96,1,4,76
75,男,21,1.2,0.7,0.5,0.9,0.9,94,1,0.98,1,3,74
76,女,22,1.6,1.2,0.4,0.8,0.8,94,0,0.94,1,4,79
77,女,23,2.2,2.2,0,1.9,1.9,93,2,0.97,1,2,83
78,女,23,1.8,0.8,1,1.7,1.7,94,2,0.98,1,4,69
79,男,21,2.9,2.6,0.3,1.6,1.6,93,1,0.98,1,4,76
80,女,22,1.8,1.7,0.1,0.6,0.6,93,1,0.98,1,3,75
81,男,22,0.3,0.2,0.1,0.4,1.9,86,3,0.83,1,5,69
82,女,21,1.2,1,0.2,0.9,2.7,87,1,0.86,1,3,63
83,男,21,1.4,0.8,0.6,0.1,1.2,85,3,0.87,1,4,65
84,女,22,0.7,0.6,0.1,0.7,2.5,83,0,0.83,1,4,60
85,男,23,0.8,0.5,0.3,0.9,2.9,86,3,0.85,1,4,67
86,男,22,0.2,0.1,0.1,0.9,2.7,94,1,0.96,1,4,69
87,女,22,0.1,0.1,0,0.7,2.5,93,2,0.98,1,4,62
88,男,22,0.9,0.4,0.5,0.2,1.4,94,2,0.96,1,3,69
89,女,22,1,0.6,0.4,1,3.1,95,2,0.97,1,2,67
90,女,23,1.4,1.3,0.1,0.7,2.4,93,0,0.98,1,5,66
91,女,23,0.1,0,0.1,0.1,1.3,93,2,0.97,1,4,59
92,女,22,0.7,0.2,0.5,1,3.1,94,1,0.97,1,3,62
93,女,22,1.5,0.7,0.8,0.9,2.9,94,1,0.98,1,5,62
94,女,22,1.4,0.6,0.8,0.7,2.5,95,3,0.99,1,5,63
95,女,22,0.5,0.3,0.2,0.5,2.1,93,2,0.95,1,3,66
96,女,21,0.4,0.2,0.2,0.3,1.5,77,0,0.74,1,4,57
97,女,22,0,0,0,0.5,2,78,1,0.89,1,5,54
98,女,22,0.5,0.4,0.1,1,2.9,84,1,0.98,1,4,56
99,女,21,0.4,0.3,0.1,0.1,1.1,84,1,0.96,1,5,54
100,男,22,0.3,0.2,0.1,0.6,2.2,84,0,0.99,1,5,53
