id,sex,age,After-school hours,Other study hours,Review time,Reading time,Social time,Homework score,Number of class participation,Attendance rate,Mental health status,Course difficulty rating,Final score
1,男,23,4.2,3.1,1.1,1.3,1.3,98,4,1,1,1,92
2,女,23,4.5,4.4,0.1,1.3,1.3,98,2,1,1,1,91
3,男,23,4.7,2.5,2.2,1,1,99,4,1,1,1,97
4,男,23,3.9,1.7,2.2,1.6,1.6,96,1,1,1,3,89
5,男,22,4.5,1.8,2.7,1.7,1.7,98,4,1,1,1,90
6,女,23,3.2,1.9,1.3,0.7,0.7,97,5,1,1,2,93
7,男,21,3.1,2,1.1,1.3,1.3,98,3,1,1,2,95
8,男,21,5.1,1.7,3.4,1.7,1.7,98,2,1,1,1,97
9,男,21,3.3,2.3,1,2.1,2.1,98,2,1,1,1,91
10,女,22,4.2,1.9,2.3,1.7,1.7,99,4,1,1,1,91
11,男,22,3.8,2.4,1.4,1.3,1.3,99,5,1,1,2,94
12,男,22,6.2,2,4.2,1,1,96,4,1,1,1,99
13,男,23,3.5,2.2,1.3,1.9,1.9,97,3,1,1,2,98
14,男,22,3.6,2.4,1.2,1.7,1.7,99,5,1,1,2,90
15,女,22,4.2,3.8,0.4,0.6,0.6,96,2,1,1,1,90
16,男,22,5.5,3.9,1.6,1.8,1.8,97,0,1,1,1,100
17,女,21,3.5,2.3,1.2,0.7,0.7,92,2,1,1,1,91
18,女,23,4.8,1.7,3.1,0.8,0.8,100,3,1,1,2,90
19,女,21,2.3,1.3,1,1,0.2,87,0,0.85,0,4,73
20,男,23,2.5,1.6,0.9,1.6,1.6,99,5,1,1,2,76
21,女,23,2.8,1.2,1.6,2,2,97,5,0.98,1,2,80
22,男,21,3.2,1.5,1.7,1.5,1.5,95,2,0.98,1,1,85
23,女,21,3.1,1.6,1.5,1.3,1.3,97,0,0.99,1,3,85
24,女,23,3.4,1.4,2,1.9,1.9,96,3,0.96,1,2,88
25,女,22,3.2,1.3,1.9,0.8,0.8,98,2,0.98,1,1,80
26,女,22,3.2,1.5,1.7,0.9,0.9,96,5,0.97,1,2,82
27,女,23,3.3,1.6,1.7,0.8,0.8,96,5,0.98,1,2,80
28,女,21,3.3,1.3,2,2,2,94,4,0.98,1,1,84
29,女,22,3.1,1.6,1.5,0.8,0.8,96,5,0.98,1,2,80
30,女,21,2.5,1.5,1,0.6,0.6,98,2,0.99,1,1,87
31,男,23,3.5,1.3,2.2,0.9,0.9,97,4,0.99,1,1,83
32,男,22,2.9,1.6,1.3,0.7,0.7,94,2,0.96,1,1,80
33,女,22,3,1.3,1.7,1.6,1.6,99,2,0.97,1,1,87
34,女,21,3,1.4,1.6,0.5,0.5,95,2,0.99,1,1,85
35,女,22,3.4,1.7,1.7,0.7,0.7,98,2,0.96,1,1,83
36,男,22,2.1,1,1.1,0.7,0.8,87,1,0.83,0,4,70
37,女,22,2.7,1.5,1.2,1.1,1.1,99,4,0.92,1,1,81
38,男,22,4.2,1.3,2.9,1.2,1.2,96,0,1,1,3,95
39,男,23,2.9,1.3,1.6,2.1,2.1,96,3,0.99,1,2,83
40,男,22,3.4,1.6,1.8,0.8,0.8,99,5,0.99,1,2,82
41,男,21,2.9,1.5,1.4,1,1,97,5,0.99,1,2,95
42,男,22,4.1,1.3,2.8,2.1,2.1,93,4,0.97,1,1,92
43,女,23,2.5,1.2,1.3,1.8,1.8,94,2,0.98,1,1,81
44,女,22,3.3,1.3,2,1.6,1.6,94,3,0.96,1,2,89
45,女,23,3.3,1.3,2,1.7,1.7,98,4,0.98,1,1,86
46,女,22,3.9,3.2,0.7,0.7,0.7,96,4,0.98,1,1,88
47,女,22,3.1,1.5,1.6,1,1,97,4,0.97,1,1,89
48,男,22,2.7,1.6,1.1,1.8,1.8,97,4,0.96,1,1,89
49,女,21,3.6,1.4,2.2,0.6,0.6,96,3,0.96,1,2,75
50,女,21,3.9,1.6,2.3,1.2,1.2,95,4,0.97,1,1,83
51,男,21,2.8,1.6,1.2,1.6,1.6,96,2,0.99,1,1,88
52,女,22,3.2,1.5,1.7,1.3,1.3,99,5,0.98,1,2,87
53,男,22,2.7,1.5,1.2,1.3,1.3,98,4,0.99,1,1,84
54,女,22,2.7,1.3,1.4,0.8,0.8,96,2,0.97,1,1,85
55,男,23,2.5,1.6,0.9,1,1,95,0,0.96,1,3,82
56,女,21,3.7,1,2.7,0.9,0.9,89,2,0.89,1,4,89
57,女,22,2.1,2,0.1,0.6,0.6,89,3,0.89,1,3,76
58,男,23,2.6,2.2,0.4,2.1,2.1,89,2,0.89,1,4,81
59,男,21,2.6,2.4,0.2,0.8,0.8,85,3,0.86,1,3,78
60,男,21,2,1.7,0.3,0.6,0.6,88,3,0.87,1,3,79
61,男,22,3,2,1,1.7,1.7,87,3,0.87,1,2,74
62,男,21,1.2,0.5,0.7,1.3,1.3,85,1,0.85,1,5,60
63,男,23,2,2,0,0.9,0.9,87,3,0.87,1,4,72
